card_translate,base_card,abv_langue,type_card,name_card,attribut_card,family_card,sous_family_card,nature_card,Description pendule,description
ALIN-FR006,ALIN-006,FR,monstre à effet,Alpha Leonis la Bête Féerique,Lumière,Bête,,effet,,"Si cette carte est Invoquée Normalement ou Spécialement : vous pouvez ajouter 1 Magie/Piège qui mentionne ""Ancien Dragon Féerique"" depuis votre Deck à votre main. Durant votre Main Phase : vous pouvez Invoquer Spécialement 1 monstre LUMIÈRE de max. Niveau 4 (Bête, Plante ou Elfe) depuis votre main en Position de Défense. Vous pouvez bannir cette carte depuis votre Cimetière, puis ciblez 1 Magie de Terrain dans votre Cimetière ; placez-la au-dessous du Deck, puis piochez 1 carte. Vous ne pouvez utiliser chaque effet de ""Alpha Leonis la Bête Féerique"" qu'une fois par tour."
ALIN-FR007,ALIN-007,FR,monstre à effet,Spore la Graine Féerique,Lumière,Plante,,effet,,"Si cette carte est Invoquée Spécialement : vous pouvez compter le nombre de monstres que vous contrôlez, et faites gagner à cette carte max. autant de Niveaux. Si vous contrôlez ""Ancien Dragon Féerique"" ou un monstre LUMIÈRE (Bête, Plante ou Elfe), et que cette carte est dans votre Cimetière : vous pouvez Invoquer Spécialement cette carte, et aussi, vous ne pouvez pas Invoquer Spécialement (Monstres Synchro exclus) depuis l'Extra Deck le reste de ce tour. Vous ne pouvez utiliser cet effet de ""Spore la Graine Féerique"" qu'une fois par tour."
ALIN-FR008,ALIN-008,FR,monstre à effet,Kuribon l'Esprit Féerique,Lumière,Elfe,,effet,,"Si vous contrôlez ""Ancien Dragon Féerique"" ou un monstre LUMIÈRE (Bête, Plante ou Elfe) : vous pouvez Invoquer Spécialement cette carte depuis votre main, et si vous le faites, elle est traitée comme Syntoniseur. Si une ou plusieurs autres cartes que vous contrôlez, qui sont ""Ancien Dragon Féerique"" ou un ou plusieurs monstres qui le mentionnent, vont être détruites par un effet de carte, vous pouvez renvoyer cette carte que vous contrôlez à la main à la place. Vous ne pouvez utiliser chaque effet de ""Kuribon l'Esprit Féerique"" qu'une fois par tour."
ALIN-FR009,ALIN-009,FR,monstre à effet,"Griffon, Bête Héraldique",Vent,Bête Ailée,,effet,,"Vous pouvez envoyer 1 monstre ""Bête Héraldique"" (""Griffon, Bête Héraldique"" exclu) depuis votre Deck au Cimetière ; Invoquez Spécialement cette carte depuis votre main, et aussi, vous ne pouvez pas Invoquer Spécialement depuis l'Extra Deck le reste de ce tour, sauf par Invocation Xyz qui utilise uniquement des monstres avec ""Bête Héraldique"" ou ""Numéro"" dans leur nom d'origine comme Matériel. Peut être traitée comme 2 Matériels pour l'Invocation Xyz d'un Monstre Xyz ""Numéro"" qui nécessite min. 3 Matériels. Vous ne pouvez utiliser chaque effet de ""Griffon, Bête Héraldique"" qu'une fois par tour."
ALIN-FR010,ALIN-010,FR,monstre à effet,"Baleine Stad, Bête Héraldique",Eau,Poisson,,effet,,"Si cette carte est Invoquée Normalement ou Spécialement : vous pouvez défausser 1 carte ; ajoutez 2 Magies/Pièges ""Héraldique"" depuis votre Deck à votre main. Vous pouvez bannir cette carte depuis votre Cimetière, puis ciblez 2 monstres ""Bête Héraldique"" dans votre Cimetière du même nom ; Invoquez-les Spécialement en Position de Défense, et aussi, vous ne pouvez pas Invoquer Spécialement depuis l'Extra Deck le reste de ce tour, sauf par Invocation Xyz qui utilise uniquement des monstres avec ""Bête Héraldique"" ou ""Numéro"" dans leur nom d'origine comme Matériel. Vous ne pouvez utiliser chaque effet de ""Baleine Stad, Bête Héraldique"" qu'une fois par tour."
ALIN-FR011,ALIN-011,FR,monstre à effet,Diabellstar la Vengeresse,Ténèbres,Démon,,effet,,"(Cette carte est toujours traitée comme carte ""Butin du Péché"".) Vous pouvez bannir 1 Magie et 1 Piège depuis votre main et/ou Cimetière ; Invoquez Spécialement cette carte depuis votre main ou Cimetière. (Effet Rapide) : vous pouvez payer la moitié de vos LP, puis ciblez 1 carte contrôlée par votre adversaire ; détruisez-la, puis si une autre Carte Monstre ""Diabell"" est sur le Terrain, vous pouvez Invoquer Spécialement 1 Monstre Synchro Syntoniseur (Illusion ou Magicien) depuis votre Extra Deck. Vous ne pouvez utiliser chaque effet de ""Diabellstar la Vengeresse"" qu'une fois par tour."
ALIN-FR012,ALIN-012,FR,monstre à effet,Diabellze la Sorcière Blanche,Lumière,Illusion,,effet,,"(Cette carte est toujours traitée comme carte ""Forêt Blanche"".) Les monstres que vous contrôlez ne peuvent pas être détruits par des effets de carte de votre adversaire, tant que vous contrôlez min. 2 monstres ""Diabell"". Vous ne pouvez utiliser chacun des effets suivants de ""Diabellze la Sorcière Blanche"" qu'une fois par tour. Vous pouvez envoyer 1 Magie/Piège depuis votre main ou Terrain au Cimetière ; Invoquez Spécialement cette carte depuis votre main. Si cette carte est Invoquée Normalement ou Spécialement : vous pouvez envoyer 1 carte ""Butin du Péché"" ou ""Diabell"" depuis votre Deck au Cimetière."
ALIN-FR013,ALIN-013,FR,monstre à effet,Guerrier de la Regenèse,Feu,Guerrier,,effet,,"Si un monstre avec 2500 ATK ou DEF d'origine est sur le Terrain, vous pouvez Invoquer Spécialement cette carte (depuis votre main). Vous ne pouvez Invoquer Spécialement ""Guerrier de la Regenèse"" qu'une fois par tour de cette façon. Vous ne pouvez utiliser chacun des effets suivants de ""Guerrier de la Regenèse"" qu'une fois par tour. (Effet Rapide) : vous pouvez Sacrifier cette carte, puis ciblez 1 monstre contrôlé par votre adversaire ; renvoyez-le à la main. Durant la End Phase de votre adversaire, si cette carte est dans le Cimetière parce qu'elle y a été envoyée ce tour : vous pouvez ajouter cette carte à votre main."
ALIN-FR014,ALIN-014,FR,monstre à effet,Sage de la Regenèse,Eau,Magicien,,effet,,"Si un monstre avec 2500 ATK ou DEF d'origine est sur le Terrain, vous pouvez Invoquer Spécialement cette carte (depuis votre main). Vous ne pouvez Invoquer Spécialement ""Sage de la Regenèse"" qu'une fois par tour de cette façon. Vous ne pouvez utiliser chacun des effets suivants de ""Sage de la Regenèse"" qu'une fois par tour. Lorsque votre adversaire active une carte ou un effet (Effet Rapide) : vous pouvez envoyer 1 autre carte ""Regenèse"" depuis votre main ou Terrain face recto au Cimetière ; annulez l'activation, et si vous le faites, détruisez la carte. Durant la End Phase de votre adversaire, si cette carte est dans le Cimetière parce qu'elle y a été envoyée ce tour : vous pouvez ajouter cette carte à votre main."
ALIN-FR015,ALIN-015,FR,monstre à effet,Dragon de la Regenèse,Vent,Dragon,,effet,,"Si un monstre avec 2500 ATK ou DEF d'origine est sur le Terrain, vous pouvez Invoquer Spécialement cette carte (depuis votre main). Vous ne pouvez Invoquer Spécialement ""Dragon de la Regenèse"" qu'une fois par tour de cette façon. Vous ne pouvez utiliser chacun des effets suivants de ""Dragon de la Regenèse"" qu'une fois par tour. (Effet Rapide) : vous pouvez Sacrifier cette carte, puis ciblez 1 Magie/Piège contrôlé par votre adversaire ; bannissez-le. Durant la End Phase de votre adversaire, si cette carte est dans le Cimetière parce qu'elle y a été envoyée ce tour : vous pouvez ajouter cette carte à votre main."
ALIN-FR016,ALIN-016,FR,monstre à effet,Archdémon de la Regenèse,Terre,Démon,,effet,,"Vous pouvez Invoquer Spécialement cette carte (depuis votre main) en révélant un autre monstre avec 2500 ATK ou DEF dans votre main. Vous ne pouvez Invoquer Spécialement ""Archdémon de la Regenèse"" qu'une fois par tour de cette façon. Vous ne pouvez utiliser chacun des effets suivants de ""Archdémon de la Regenèse"" qu'une fois par tour. Si cette carte est Invoquée Normalement ou Spécialement : vous pouvez ajouter 1 carte ""Regenèse"" (""Archdémon de la Regenèse"" exclu) depuis votre Deck ou bannissement à votre main. Durant la End Phase de votre adversaire, si cette carte est dans le Cimetière parce qu'elle y a été envoyée ce tour : vous pouvez ajouter cette carte à votre main."
ALIN-FR017,ALIN-017,FR,monstre à effet,Seigneur de la Regenèse,Lumière,Illusion,,effet,,"Ni Invocable Normalement ni Posable Normalement. Uniquement Invocable Spécialement (depuis votre main) en bannissant 1 monstre face recto que vous contrôlez avec 2500 ATK/DEF d'origine. Vous ne pouvez Invoquer Spécialement ""Seigneur de la Regenèse"" qu'une fois par tour de cette façon. Si cette carte est Invoquée Spécialement : vous pouvez Poser 1 Magie/Piège ""Regenèse"" depuis votre Deck. Gagne 2500 ATK durant la Battle Phase uniquement. Si cette carte attaque un monstre en Position de Défense, infligez des dommages de combat perçants à votre adversaire."
ALIN-FR018,ALIN-018,FR,monstre à effet,"Spectral, Maître Dragon des Lueurs",Lumière,Dragon,,effet,,"Vous pouvez défausser cette carte et 1 monstre Dragon ou LUMIÈRE ; ajoutez 2 monstres ""Maître Dragon"" (""Spectral, Maître Dragon des Lueurs"" exclu) depuis votre Deck à votre main. Vous pouvez bannir cette carte et 1 monstre Dragon ou LUMIÈRE depuis votre Cimetière, puis ciblez 1 ""Chasma, Maître Dragon des Aurores"" dans votre Cimetière ; Invoquez-le Spécialement. Vous ne pouvez utiliser qu'1 effet de ""Spectral, Maître Dragon des Lueurs"" par tour, et uniquement une fois le tour."
ALIN-FR019,ALIN-019,FR,monstre à effet,"Nebulus, Maître Dragon des Mésaventures",Ténèbres,Dragon,,effet,,"Vous pouvez défausser cette carte et 1 monstre Dragon ou TÉNÈBRES, puis ciblez 2 de vos monstres ""Maître Dragon"" bannis d'Attributs différents (""Nebulus, Maître Dragon des Mésaventures"" exclu) ; Invoquez-les Spécialement, mais ils ne peuvent pas attaquer ce tour. Vous pouvez bannir cette carte et 1 monstre Dragon ou TÉNÈBRES depuis votre Cimetière, puis ciblez 1 ""Eclipse, Maître Dragon des Catastrophes"" dans votre Cimetière ; Invoquez-le Spécialement. Vous ne pouvez utiliser qu'1 effet de ""Nebulus, Maître Dragon des Mésaventures"" par tour, et uniquement une fois le tour."
ALIN-FR020,ALIN-020,FR,monstre à effet,Argostars - Féroce Parthe,Terre,Guerrier,,effet,,"Gagne 700 ATK/DEF pour chaque monstre ""Argostars"" de nom différent que vous contrôlez (cette carte exclue). Vous ne pouvez utiliser chacun des effets suivants de ""Argostars - Féroce Parthe"" qu'une fois par tour. (Effet Rapide) : vous pouvez révéler cette carte dans votre main ; renvoyez 1 Piège Continu ""Argostars"" que vous contrôlez à la main, et si vous le faites, Invoquez Spécialement cette carte. Vous pouvez bannir cette carte que vous contrôlez ; Posez 1 Piège Continu depuis votre main. Il peut être activé ce tour."
ALIN-FR021,ALIN-021,FR,Monstre Normal Pendule,Matériacteur Prima,Lumière,Dragon,,normal/Pendule,"Les Monstres Xyz que vous contrôlez gagnent 100 ATK pour chaque Matériel Xyz sur le Terrain. Vous pouvez cibler 1 Monstre Xyz ""Matériacteur"" que vous contrôlez ; attachez-lui cette carte comme Matériel, puis piochez 1 carte. Vous ne pouvez utiliser cet effet de ""Matériacteur Prima"" qu'une fois par tour.","Une forme de vie extraterrestre venue de cieux lointains. Nombreux sont les chercheurs qui ont tenté de déterminer sa véritable identité, mais sa luminosité et les miasmes émis ont entouré son existence de mystère, rendant extrêmement difficile d'en percevoir toute son étendue. Cependant, un certain nombre de nouvelles espèces ont été récemment découvertes par des chercheurs prometteurs, et il semble que l'on découvre finalement toute l'ampleur de l'existence de ces espèces."
ALIN-FR022,ALIN-022,FR,monstre à effet,Étoile Ryzéal,Lumière,Pyro,,effet,,"Vous pouvez Invoquer Spécialement cette carte (depuis votre main) en détachant 1 Matériel d'un monstre que vous contrôlez. Si elle est Invoquée de cette façon, vous ne pouvez pas Invoquer Spécialement (Monstres Xyz de Rang 4 exclus) depuis l'Extra Deck le reste de ce tour. Vous ne pouvez Invoquer Spécialement ""Étoile Ryzéal"" qu'une fois par tour de cette façon. Si cette carte est Invoquée Spécialement : vous pouvez Poser 1 Magie/Piège ""Ryzéal"" depuis votre Deck. Vous ne pouvez utiliser cet effet de ""Étoile Ryzéal"" qu'une fois par tour."
ALIN-FR023,ALIN-023,FR,monstre à effet,Maliss <P> Lièvre de Mars,Ténèbres,Cyberse,,effet,,"Votre adversaire ne peut pas cibler de Monstres Lien ""Maliss"" qui pointent cette carte avec des effets de carte. Vous ne pouvez utiliser chacun des effets suivants de ""Maliss <P> Lièvre de Mars"" qu'une fois par tour. Durant la Main Phase, si cette carte est dans votre main (Effet Rapide) : vous pouvez bannir 1 autre carte ""Maliss"" depuis votre main ou Cimetière, et si vous le faites, Invoquez Spécialement cette carte. Si cette carte est bannie : vous pouvez payer 300 LP, puis ciblez 1 de vos monstres ""Maliss"" bannis ; ajoutez-le à votre main."
ALIN-FR024,ALIN-024,FR,monstre à effet,Tensei Ryu-Ge Anva,Ténèbres,Dragon,,effet,"Vous ne pouvez pas Invoquer par Pendulation (monstres ""Ryu-Ge"" exclus) (cet effet ne peut pas être annulé). Vous pouvez annuler la carte ou effet activé de votre adversaire en réponse à l'activation de votre Carte Magie ou effet de Magie ""Ryu-Ge"", puis détruisez cette carte. Vous ne pouvez utiliser cet effet de ""Tensei Ryu-Ge Anva"" qu'une fois par tour.","Vous pouvez Sacrifier 1 monstre ""Ryu-Ge"" (""Tensei Ryu-Ge Anva"" exclu) depuis votre main ou Terrain ; Invoquez Spécialement cette carte depuis votre main. Si cette carte est Invoquée Spécialement : vous pouvez cibler 1 carte sur le Terrain ; détruisez-la. Si cette carte est détruite : vous pouvez placer face recto 1 Magie Continue/Piège Continu ""Ryu-Ge"" depuis votre Deck, Cimetière ou bannissement sur votre Terrain. Vous ne pouvez utiliser chaque effet de ""Tensei Ryu-Ge Anva"" qu'une fois par tour."
ALIN-FR025,ALIN-025,FR,monstre à effet,Dragon de Griffes Métalliques aux Yeux Rouges,Ténèbres,Dragon,,effet,,"Vous pouvez activer les Pièges ""Métalmorphe"" le tour où ils ont été Posés. Vous ne pouvez utiliser chacun des effets suivants de ""Dragon de Griffes Métalliques aux Yeux Rouges"" qu'une fois par tour. Vous pouvez envoyer 1 carte face verso que vous contrôlez au Cimetière ; Invoquez Spécialement cette carte depuis votre main. Si cette carte est Invoquée Normalement ou Spécialement, et que vous avez ""Métalmorphe Max"" dans votre Terrain ou Cimetière : vous pouvez ajouter 1 Piège ""Métalmorphe"" depuis votre Deck ou Cimetière à votre main."
ALIN-FR026,ALIN-026,FR,monstre à effet,Cyber Jörmungandr,Lumière,Machine,,effet,,"Ni Invocable Normalement ni Posable Normalement. Uniquement Invocable Spécialement par un effet de carte. Si votre adversaire contrôle un monstre : vous pouvez Invoquer Spécialement cette carte depuis votre main, puis prenez 1 ""Cyber Dragon"" depuis votre Deck, et soit Invoquez-le Spécialement soit équipez-le à cette carte comme Magie d'Équipement, et aussi, vous ne pouvez pas Invoquer Spécialement (monstres Machine exclus) le reste de ce tour. Vous pouvez renvoyer 1 ""Cyber Dragon"" que vous contrôlez à la main ; ajoutez 1 ""Polymérisation"" depuis votre Deck ou Cimetière à votre main. Vous ne pouvez utiliser chaque effet de ""Cyber Jörmungandr"" qu'une fois par tour."
ALIN-FR027,ALIN-027,FR,monstre à effet,Wurm Cyberténébreux,Ténèbres,Machine,,effet,,"Le nom de cette carte devient ""Cyber Dragon"" tant qu'elle est sur le Terrain ou dans le Cimetière. Si cette carte est dans votre main ou Cimetière, et que vous avez un autre monstre ""Cyber"" Machine dans votre Terrain ou Cimetière : vous pouvez envoyer 1 monstre ""Cyber Dragon"" depuis votre main ou Deck au Cimetière ; Invoquez Spécialement cette carte, puis vous pouvez ajouter 1 Magie/Piège ""Cyber"" depuis votre Cimetière à votre main. Vous ne pouvez utiliser cet effet de ""Wurm Cyberténébreux"" qu'une fois par Duel."
ALIN-FR028,ALIN-028,FR,monstre à effet,Live☆Jumelle Lil-la Sucreries,Ténèbres,Magicien,,effet,,"Lorsque votre adversaire active une carte ou un effet en réponse à l'activation de votre carte ou effet ""Live☆Jumelle"" (Effet Rapide) : vous pouvez défausser cette carte ; annulez l'effet de l'adversaire. Si vous contrôlez un monstre ""Ki-sikil"" et que cette carte est dans votre Cimetière : vous pouvez Invoquer Spécialement cette carte, mais tant qu'elle est face recto dans la Zone Monstre, vous ne pouvez pas Invoquer Spécialement (monstres Démon exclus) depuis l'Extra Deck. Vous ne pouvez utiliser chaque effet de ""Live☆Jumelle Lil-la Sucreries"" qu'une fois par tour."
ALIN-FR029,ALIN-029,FR,monstre à effet,Crâne Serviteur Moissa,Ténèbres,Zombie,,effet,,"Le nom de cette carte devient ""Crâne Serviteur"" tant qu'elle est dans le Cimetière. Si cette carte est Invoquée Normalement ou Spécialement : vous pouvez ajouter 1 ""Crâne Serviteur"" ou 1 carte qui le mentionne (""Crâne Serviteur Moissa"" exclu) depuis votre Deck à votre main, et aussi, vous ne pouvez pas Invoquer Spécialement (monstres Zombie exclus) le reste de ce tour. Vous ne pouvez utiliser cet effet de ""Crâne Serviteur Moissa"" qu'une fois par tour. Durant votre Main Phase, vous pouvez Invoquer Normalement 1 monstre Zombie de max. Niveau 4 en plus de votre Invocation/Pose Normale. (Vous ne pouvez gagner cet effet qu'une fois par tour.)"
ALIN-FR030,ALIN-030,FR,monstre à effet,NT8000 - SIRIUS,Ténèbres,Machine,,effet,,"Cette carte liée ne peut pas être détruite au combat. Vous ne pouvez utiliser chacun des effets suivants de ""NT8000 - SIRIUS"" qu'une fois par tour. Durant le tour où un effet de Monstre Lien a été activé (Effet Rapide) : vous pouvez cibler 1 carte face recto que vous contrôlez et 1 carte face recto contrôlée par votre adversaire ; détruisez-les toutes les deux. Si cette carte est envoyée au Cimetière, sauf depuis le Terrain, et que vous contrôlez un Monstre Lien TÉNÈBRES : vous pouvez Invoquer Spécialement cette carte, mais bannissez-la lorsqu'elle quitte le Terrain."
ALIN-FR031,ALIN-031,FR,monstre à effet,Dragon-Serpent Nocturne Malfaisant,Ténèbres,Dragon,,effet,,"Vous pouvez Sacrifier 1 monstre TÉNÈBRES depuis votre main ou Terrain ; Invoquez Spécialement cette carte depuis votre main. Vous ne pouvez utiliser cet effet de ""Dragon-Serpent Nocturne Malfaisant"" qu'une fois par tour. Lorsque cette carte est détruite au combat : vous pouvez cibler 1 monstre contrôlé par votre adversaire ; envoyez-le au Cimetière, puis vous pouvez Invoquer Spécialement cette carte."
ALIN-FR032,ALIN-032,FR,monstre à effet,Pégase aux Ailes de Feu Cramoisies,Feu,Bête,,effet,,"Si votre adversaire contrôle plus de monstres que vous, vous pouvez Invoquer Spécialement cette carte (depuis votre main), et si vous le faites, elle peut attaquer directement ce tour. Vous ne pouvez Invoquer Spécialement ""Pégase aux Ailes de Feu Cramoisies"" qu'une fois par tour de cette façon. Lorsque votre adversaire active un effet de monstre sur le Terrain (Effet Rapide) : vous pouvez infliger des dommages à votre adversaire égaux au nombre du Maillon de la Chaîne de cet effet x 300, et aussi, cette carte ne peut pas être détruite par les effets activés avant celui-ci dans cette Chaîne. Vous ne pouvez utiliser cet effet de ""Pégase aux Ailes de Feu Cramoisies"" qu'une fois par tour."
ALIN-FR033,ALIN-033,FR,monstre à effet,Contrôleur Cérébral,Ténèbres,Psychique,Syntoniseur,effet,,"Si cette carte est Invoquée Normalement ou Spécialement : vous pouvez ajouter 1 ""Contrôle Cérébral"" depuis votre Deck à votre main. Si vous payez des LP (sauf durant la Damage Step) : vous pouvez cibler 1 monstre face recto sur le Terrain, et déclarez un Niveau de 1 à 8 ; le monstre devient ce Niveau. Si cette carte est envoyée au Cimetière comme Matériel Synchro : vous pouvez Invoquer Spécialement cette carte sur le Terrain de votre adversaire en Position de Défense, mais annulez ses effets. Vous ne pouvez utiliser chaque effet de ""Contrôleur Cérébral"" qu'une fois par tour."
ALIN-FR034,ALIN-034,FR,monstre à effet,Place Détonante,Ténèbres,Magicien,,effet,,"Une fois par Chaîne (Effet Rapide) : vous pouvez payer 600 LP, puis activez 1 de ces effets ; ●Si vous contrôlez 6 monstres de Niveaux différents (1, 2, 3, 4, 5 et 6) : choisissez 1 monstre face recto contrôlé par votre adversaire avec un Niveau, et détruisez tous les autres monstres contrôlés par votre adversaire du même Niveau/Rang/Classification Lien que le monstre. ●Choisissez 1 monstre face recto que vous contrôlez avec un Niveau, et détruisez tous les monstres de votre adversaire dans la même colonne du même Niveau/Rang/Classification Lien que le monstre."
ALIN-FR035,ALIN-035,FR,Monstre Fusion,Azamina,Lumière,Illusion,,effet,,"Doit d'abord être soit Invoquée par Fusion, soit Invoquée Spécialement (depuis votre Extra Deck) en Sacrifiant 1 ""Sainte Azamina"" que vous contrôlez et 1 monstre face recto contrôlé par votre adversaire. Non destructible par des effets de carte. Chaque fois que votre adversaire active une carte ou un effet, tous les monstres qu'il contrôle perdent 500 ATK lorsqu'il est résolu. Votre adversaire ne peut pas activer les effets des monstres avec 0 ATK."
